label,N,P,K,temperature,humidity,ph,rainfall
apple,21.108398835168668,132.63138783240856,145.39549549549548,22.696585188681627,92.10126146397289,5.9043329629141095,113.69945911683246
banana,100.32207488201166,81.9268893965535,49.919827040051224,27.31751623925705,80.31734461123041,5.972138070760522,103.93542159004929
blackgram,40.106809040808976,67.19789147243878,19.471536820676263,30.013797210784716,64.94510662194826,7.13642097693853,67.96748434518962
chickpea,40.3238171234045,68.06136287139535,80.06067776466068,18.748311145747962,20.5643065590473,7.327501889670185,79.29047211297423
coconut,22.29776669527368,16.985064330986503,30.753713837752027,27.486605844846387,94.30272278112166,5.960068816293097,174.21440438912796
coffee,101.55970576065982,28.849851542211987,30.111013900900083,25.620514399955464,58.30119846462411,6.807446317575711,156.6158239690287
cotton,117.93377139255057,46.66251180447586,19.17830319796049,24.107235199521195,79.92979362740908,6.906867031232336,81.01463794416352
grapes,23.284630935380857,131.6171820850372,145.4104410441044,24.215667708486045,82.05299162424487,6.03285513716079,69.86630008376547
jute,78.27605774369918,46.52002224149568,39.98021957957696,24.96816376874002,79.77885428841158,6.738455665680534,174.93976452946507
kidneybeans,21.08210051685348,67.38244203215271,20.081443106103798,20.07642576613589,23.083538741556897,5.738484880823573,105.18450617500318
lentil,18.97693283796448,68.47528891523565,19.110338348109057,24.403800367396176,64.90463535963274,6.956537144488325,46.69164887074216
maize,77.55698666664976,48.41097632855901,19.828672299898383,22.40201817340331,64.95812844113058,6.26968408609576,84.77886925395059
mango,20.651147739760198,27.752742352251087,29.76549253385382,31.18468343922505,50.3871558757748,5.787904660619085,95.48146901660293
mothbeans,21.38610425655742,47.58306983164358,20.010145175946256,28.1780311697055,53.076996127362136,6.837164844987135,51.32103410178682
mungbean,20.895274385166605,47.05100507279298,19.947242190745666,28.565774448096303,85.46518157554,6.724229956386601,48.61457762074883
muskmelon,100.21483165740987,17.7624909010031,50.261039862601606,28.639755967219354,92.02636000599458,6.360761371443726,30.094951914796784
orange,19.52145480592665,16.724382380356936,10.054162856774443,22.977210560148976,92.01866926870548,6.980057026704236,110.60047314497288
papaya,50.17074695630292,59.32618115633712,50.0028158640236,33.954916561565746,92.54604088964516,6.73274198648881,144.12482606478926
pigeonpeas,20.478023097605618,67.7337011584416,20.161578312283524,27.857571839125193,47.95801488395868,5.779703196776927,148.64375071856657
pomegranate,18.301866951666014,19.2377979213711,40.20466029810145,21.83374945137471,90.06020018690194,6.439856316496571,107.17103404093973
rice,79.54693545920553,47.97866926760324,39.75900670668754,23.667452536852835,82.30870853425147,6.468765005137761,236.1128716777733
watermelon,99.67828431915945,17.046137431629763,50.151404122315704,25.695088765040655,85.37925682566764,6.505156138026696,51.62801005126827
